Company,Total funding,Launch date
Back Market,926.18,"2014, August"
Mirakl,861.82,2012
ContentSquare,756.95,"2012, April"
Sorare,670.55,"2018, December"
ManoMano,633.18,
Qonto,621.6,"2016, April"
Vestiaire Collective,587.73,2009
BlaBlaCar,509.96,2006
Deezer,480.43,"2006, August"
Voodoo,447.82,2013
PayFit,433.5,"2015, April"
Ledger,432.15,2014
Exotec,424.05,2015
Ankorstore,379.18,"2019, July"
Younited,326.2,"2009, October"
Alan,309.82,"2016, February"
IAD France,300,2008
Swile (ex-Lunchr),296.23,2016
Shift Technology,289.3,"2013, March"
DNA Script,283.23,2014
Meero,269.46,2016
Spendesk,261.27,2016
Ÿnsect,239.8,2011
Doctolib,237.18,2013
Lydia,233.39,"2011, September"
360Learning,220.29,
EcoVadis,213.09,"2007, April"
InnovaFeed,204.75,2016
DentalMonitoring,186.36,"2013, December"
Aledia,168.33,"2011, June"
SendinBlue,167.73,
Ornikar,155.59,"2013, January"
Devialet,151.45,2007
Amolyt Pharma,149.83,
OpenClassRooms,135.47,2013
HR Path,135,"2001, February"
Loft Orbital Solutions,132.91,2017
Tissium,128.7,2013
Descartes Underwriting,127.91,2018
Ivalua,121.25,"2000, January"
Brut,114.55,"2016, November"
Malt,112.5,"2013, February"
Wynd,111.69,"2013, February"
Agicap,108.31,2016
Skeepers,102,"2012, April"
Kineis,100,2018
Verkor,100,"2020, July"
LumApps,92.73,2012
Pigment,89.91,"2019, July"
Withings,83.66,"2008, June"
Bioserenity,83.05,"2017, January"
Vade Secure,81.91,2009
TreeFrog Therapeutics,77.96,2018
Lifen,77.5,2015
Imcheck Therapeutics,77.01,2015
Mnemo Therapeutics,75,2019
BOTIFY,74.77,2012
Singulart,72.6,2017
Luko,72,"2016, December"
JobTeaser,72,2008
Leocare,68.82,2017
Heetch,66.82,2013
Alma,64.8,2018
SparingVision,62.51,2016
Inotrem,61.96,"2013, March"
Wandercraft,60.81,"2012, October"
Corwave,60.68,2012
Homa Games,57.85,2018
PlayPlay,57,2017
Akeneo,55.9,"2013, September"
MusicWorldMedia,55.77,2012
Cubyn,53.37,2014
Iziwork,51.5,"2018, April"
Yubo,51,"2016, March"
GitGuardian,50.91,"2017, November"
Klaxoon,50.45,"2014, December"
iAdvize,47.08,2010
Skello,46.39,2016
Ubitransport,45,"2012, April"
La Belle Vie,42.1,"2015, June"
MEDADOM,40,"2016, July"
Cooptalis,40,2012
Hoppen,40,2011
Yousign,38.77,"2013, August"
Platform.sh,37.55,"2014, January"
Pennylane,84,2020
Gojob,29.5,"2015, December"
Certideal,25,"2015, October"
Happn,20,"2011, October"
Crosscall,18.5,2009
EkWateur,15.94,"2015, October"
Madbox,15,"2018, April"
PerfectStay,15,"2016, February"
Adikteev,13.83,"2012, November"
Papernest,10,"2015, February"
GEOSAT,10,2000
Joone,10,"2016, December"
Trusk,9.5,"2016, January"
Igyxos,7.5,2017
Ultra Premium Direct,7,"2013, December"
Smallable,7,2008
Ilek,6,"2015, June"
Visiperf,2.3,2014
Libon,1.8,"2018, August"
ALLMOL,,"2013, July"
Amarisoft,N/A,2012
Meilleurtaux,N/A,"1999, September"
Agriconomie,N/A,"2014, January"
Virtuo,,2016
NW Storage,,"2019, February"
MYM,,"2018, November"
Okwind.fr,,"2009, April"
E.Z Drive,N/A,2014
Recommerce,N/A,"2009, August"
Veepee,N/A,2001
Woosmap,,2015
Smart AdServer,N/A,2001
Selectra,,"2007, September"
Pharmedigroup,,2017
Hubside,,2017
