"id";"title";"slug";"acronym";"url";"organization";"organization_id";"owner";"owner_id";"description";"description_short";"frequency";"license";"temporal_coverage.start";"temporal_coverage.end";"spatial.granularity";"spatial.zones";"featured";"created_at";"last_modified";"tags";"archived";"resources_count";"main_resources_count";"resources_formats";"harvest.backend";"harvest.domain";"harvest.created_at";"harvest.modified_at";"harvest.remote_url";"quality_score";"metric.discussions";"metric.discussions_open";"metric.reuses";"metric.reuses_by_months";"metric.dataservices";"metric.followers";"metric.followers_by_months";"metric.views";"metric.resources_downloads"
| `isigeo_iduser` |  | `int4` |
| `modele_velo` | Modèle vélo | `varchar` |
| `isigeo_obj` |  | `int4` |
| `nbre_velo` | Nombre vélos | `int4` |
| `date_saisie_ts` |  | `int4` |
| `date_saisie_pg` |  | `timestamp` |
| `date_saisie` | Date de saisie | `date` |
| `numero` | Numéro | `int4` |
| `isigeo_user` |  | `varchar` |
| `isigeo_lot` |  | `varchar` |
| `ogc_fid` |  | `int4` |
| `idmodele_velo` |  | `int4` |
| `precision` | Précision | `bpchar` |
| `isigeo_synchro_statut` |  | `varchar` |
| `photo` |  | `varchar` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/dfea79f9daa941fbb7fc9248309dc1c4/THU_tcV6SuOT_DsWqcQNzDenuhTV0/r/912a352253f1477fa0d11a628df6a0a0).";"";"semiannual";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2021-11-29T19:02:40.117000";"2025-11-21T00:00:00";"deux-roues,donnees-ouvertes,grand-public,mobilier-urbain,parking,schema-cyclable,stationnement,velo";False;2;2;"zip,geojson";"DCAT";"dcat.isogeo.com";"";"2025-11-21T00:00:00";"";"0.67";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";1;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";2400;285
"61a515c039004708b94ed79b";"Equipements collectifs publics sociaux et d'animation - Bayonne";"equipements-collectifs-publics-sociaux-et-danimation-bayonne-1";"";"https://www.data.gouv.fr/datasets/equipements-collectifs-publics-sociaux-et-danimation-bayonne-1";"Ville de Bayonne";"58d53c4688ee380aeea5e932";"";"";"Localisation des équipements collectifs publics sociaux et d'animation de Bayonne, répartis en 5 catégories : 
* équipements pour la jeunesse et la petite enfance (crèches, centre aérés...)
* équipements d'aide aux familles (centre social, ...)
* équipements pour handicapés
* équipements pour personnes âgées (EHPAD, ...)
* autres établissements d'accueil social (foyer de jeunes travailleurs, ...)
**Contexte de collecte**
La nomenclature utilisée est celle établie par le groupe de travail ""Localisation des équipements collectifs publics"" du [CRIGE PACA](http://www.crige-paca.org/) en février 2008. Certains noms d'équipements ont été adaptés pour correspondre aux équipements de Bayonne (exemple : PIJ Point Information Jeunesse en PACA correspond à BIJ Bureau Information Jeunesse à Bayonne).
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `niveau_3` | Niveau 3 | `varchar` |
| `code_insee` | Code INSEE | `int4` |
| `isigeo_synchro_lock` |  | `varchar` |
| `adresse` | Adresse | `varchar` |
| `isigeo_user` |  | `varchar` |
| `isigeo_statut` |  | `varchar` |
| `isigeo_synchro_statut` |  | `varchar` |
| `idniveau_3` |  | `int4` |
| `ogc_fid` |  | `int4` |
| `isigeo_obj` |  | `int4` |
| `idniveau_2` |  | `int4` |
| `isigeo_iduser` |  | `int4` |
| `isigeo_lot` |  | `varchar` |
| `isigeo_lock` |  | `varchar` |
| `statut` | Statut | `varchar` |
| `idstatut` |  | `int4` |
| `nom` | Nom | `varchar` |
| `niveau_2` | Niveau 2 | `varchar` |
