"id";"title";"slug";"acronym";"url";"organization";"organization_id";"owner";"owner_id";"description";"description_short";"frequency";"license";"temporal_coverage.start";"temporal_coverage.end";"spatial.granularity";"spatial.zones";"featured";"created_at";"last_modified";"tags";"archived";"resources_count";"main_resources_count";"resources_formats";"harvest.backend";"harvest.domain";"harvest.created_at";"harvest.modified_at";"harvest.remote_url";"quality_score";"metric.discussions";"metric.discussions_open";"metric.reuses";"metric.reuses_by_months";"metric.dataservices";"metric.followers";"metric.followers_by_months";"metric.views";"metric.resources_downloads"
Ce Site du Ministère des Sports propose des informations relatives aux Plans Départementaux des Espaces, Sites et Itinéraires (PDESI) et aux Commissions Départementales des Espaces, Sites et Itinéraires (CDESI).
  * Site Suricate : [https://sentinelles.sportsdenature.fr/](https://sentinelles.sportsdenature.fr/)
Ce site permet de signaler un problème (balisage, sécurité, conflits d’usage, environnement) sur un espace, site ou un itinéraire, en l’accompagnant de sa géolocalisation et d’une photo.";"";"";"License Not Specified";"";"";"other";"";False;"2024-02-05T00:00:00";"2024-03-12T00:00:00";"76,departement-de-la-seine-maritime,equestre,equitation,geospatial,itineraires,itinerance,pdesi,sports-et-loisirs,tourisme";False;11;11;"web page,csv,arcgis geoservices rest api,kml,geojson,zip";"DCAT";"www.opendata76.fr";"2024-02-05T00:00:00";"2024-03-12T00:00:00";"https://www.opendata76.fr/datasets/seine-maritime::itineraires-equestres-pdesi-cd76-decembre-2023";"0.44";0;0;0;"{'2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0, '2025-12': 0, '2026-01': 0}";1;0;"{'2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0, '2025-12': 0, '2026-01': 0}";1612;1508
"65c2c8c9200bdc4ef258ddc9";"Itineraires Rando pedestre PDESI CD76 decembre 2023";"itineraires-rando-pedestre-pdesi-cd76-decembre-2023";"";"https://www.data.gouv.fr/datasets/itineraires-rando-pedestre-pdesi-cd76-decembre-2023";"Département de la Seine-Maritime";"5e281d5b634f417c0c54ae2f";"";"";"Itinéraires de randonnées pédestres inscrits ou en cours d’inscription au Plan Départemental des Espaces, Sites et Itinéraires relatifs aux Sports de Nature (PDESI, voir glossaire dans les métadonnées) de la Seine-Maritime au 31 décembre 2023. 
À cette date, 272 itinéraires pédestres étaient inscrits ou en cours d’inscription au PDESI.
_**Attention ! **À la demande de la Fédération Française de Randonnée pédestre, tous les itinéraires portés par le Comité Départemental de Randonnée Pédestre ont été retirés des cartes diffusées en open data. En effet, GR®, GR® de Pays et Labellisé FFRandonnée® sont des marques déposées par la FFRandonnée, elles désignent les itinéraires créés par la FFRandonnée et identifiés sous le nom de « GR® », balisés de marques blanc-rouge, « GR® de Pays », balisés de marques jaune-rouge ainsi que les PR « Labellisés FFRandonnée® » marqués d’un macaron. La reproduction non autorisée des itinéraires et des marques constitue une contrefaçon passible de poursuites. Les itinéraires GR sont des œuvres de l'esprit protégées par le droit d'auteur depuis un arrêt de la Cour de cassation de 1998. Le nom de ces itinéraires apparait néanmoins toujours dans le tableau dans la mesure ou le Département les a inscrits au PDESI._
Métadonnées  
[Lien vers les métadonnées](https://seine-maritime.maps.arcgis.com/sharing/rest/content/items/695e3c75377d49f78378abb8e7b48631/data)  
Ressources complémentaires  
  * Site seine-maritime-tourisme : <https://www.seine-maritime-tourisme.com/fr/je-choisis/une-balade/a-pied.php>
Le site de Seine-Maritime Attractivité propose en téléchargement gratuit une fiche individuelle pour chaque circuit (incluant plan, points d'intérêt touristique, aménagements, difficulté et durée) et les traces .gpx des itinéraires de randonnée inscrit au PDESI.  
  * Site normandie-tourisme (Comité Régional du Tourisme Normandie) : <https://www.normandie-tourisme.fr/preparer-son-sejour/a-voir-a-faire/activites-sportives/randonnee-pedestre/>
Le site du CRT normand propose une page dédiée aux randonnées pédestres en Normandie. On peut y télécharger diverses informations (dénivelé, difficulté, durée), ainsi que les traces .gpx des itinéraires.
  * Site seinemaritime.fr : <https://www.seinemaritime.fr/guide-des-aides/vos-services/aides-aux-collectivites-et-associations/guide-des-aides/sport/les-loisirs-sportifs-de-nature-1.html>
Le site du Département de la Seine-Maritime propose une page dédiée aux aides aux loisirs sportifs de nature inscrits au PDESI
  * Site du Pôle ressource national Sports de Nature : <https://www.sportsdenature.gouv.fr//publications/outils-mobilisables-pour-perenniser-acces-lieux-de-pratique/pdesi>
Ce Site du Ministère des Sports propose des informations relatives aux PDESI et aux CDESI
  * Site Suricate : <https://sentinelles.sportsdenature.fr/>
Ce site permet de signaler un problème (balisage, sécurité, conflits d’usage, environnement) sur un espace, site ou un itinéraire, en l’accompagnant de sa géolocalisation et d’une photo.";"";"";"License Not Specified";"";"";"other";"";False;"2024-02-05T00:00:00";"2024-02-05T00:00:00";"geospatial,itineraires,itinerance,pdesi,pedestre,randonnee,randonnee-pedestre,sports-et-loisirs,tourisme";False;11;11;"web page,csv,arcgis geoservices rest api,kml,geojson,zip";"DCAT";"www.opendata76.fr";"2024-02-05T00:00:00";"2024-02-05T00:00:00";"https://www.opendata76.fr/datasets/seine-maritime::itineraires-rando-pedestre-pdesi-cd76-decembre-2023";"0.44";0;0;0;"{'2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0, '2025-12': 0, '2026-01': 0}";1;0;"{'2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0, '2025-12': 0, '2026-01': 0}";1881;1279
"65c23b1383a48584256f89d3";"Cartographie des métiers du numérique";"cartographie-des-metiers-du-numerique";"";"https://www.data.gouv.fr/datasets/cartographie-des-metiers-du-numerique";"La Grande Ecole du Numérique";"65c23715d2bca16d848339cc";"";"";"La Grande Ecole du Numérique a établi son référentiel pour lister les métiers du numérique. Organisés en 6 familles, les métiers sont ensuite divisés en postes.
Cette liste est mise à jour deux fois par an à la suite d'ateliers avec des experts du secteur du numérique.";"";"semiannual";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2024-02-06T13:58:43.512000";"2024-03-25T16:31:32.851000";"cartographie-de-reference,digital,metiers,metiers-du-numerique,numerique,referentiel,tech";False;1;1;"csv";"";"";"";"";"";"0.67";0;0;0;"{'2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0, '2025-12': 0, '2026-01': 0}";1;0;"{'2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0, '2025-12': 0, '2026-01': 0}";2564;283
"65c211fc065b35d5d35e7db4";"Aires de covoiturage de l'Aire métropolitaine Lyon - Saint-Etienne";"aires-de-covoiturage-de-laire-metropolitaine-lyon-saint-etienne";"";"https://www.data.gouv.fr/datasets/aires-de-covoiturage-de-laire-metropolitaine-lyon-saint-etienne";"Syndicat des mobilités des territoires de l'aire métropolitaine lyonnaise";"63495542c46344b3b83adbdd";"";"";"Ensemble des aires de covoiturage et parkings avec places réservées au covoiturage de l'Aire Métropolitaine Lyon - St-Étienne recensés par le Syndicat des Mobilités des Territoires de l’Aire Métropolitaine Lyonnaise (SMT AML) auprès des EPCI. Ce jeu de données est plus complet que la version versée sur la base nationale des lieux de covoiturage, et comprend notamment les lieux en projets / informels.  
";"";"semiannual";"Licence Ouverte / Open Licence version 2.0";"";"";"poi";"Auvergne-Rhône-Alpes";False;"2024-02-06T11:03:24.189000";"2025-10-29T14:26:15.022000";"aires-covoiturage,covoiturage,donnees-ouvertes,parking";False;1;1;"xlsx";"";"";"";"";"";"0.78";0;0;1;"{'2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0, '2025-12': 0, '2026-01': 0}";1;1;"{'2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0, '2025-12': 0, '2026-01': 0}";2321;235
"65c1d85cea9e37b735ac19ca";"IRVE Le Veleda";"irve-le-veleda";"";"https://www.data.gouv.fr/datasets/irve-le-veleda";"";"";"christophe-ohl";"60878ca82c86f1fc3c7ef9e4";"6 points de charge 22 Kw sur l parking de l'hôtel restaurant le Donon-Veleda";"";"punctual";"License Not Specified";"";"";"poi";"Bas-Rhin";False;"2024-02-06T06:57:32.975000";"2024-12-06T06:48:13.798000";"irve";False;1;1;"csv";"";"";"";"";"";"0.67";0;0;0;"{'2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0, '2025-12': 0, '2026-01': 0}";1;0;"{'2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0, '2025-12': 0, '2026-01': 0}";1217;1115
"65c1b46759738eeb9b75f77e";"Critères travaux - Dataviz";"criteres-travaux-dataviz";"";"https://www.data.gouv.fr/datasets/criteres-travaux-dataviz";"Toulouse métropole";"534fffb3a3a7292c64a78129";"";"";"Critères travaux - Dataviz";"";"";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2024-02-09T17:31:09";"2024-02-09T17:31:09";"amenagement,dataviz";False;4;4;"zip,json,csv";"DCAT";"data.toulouse-metropole.fr";"";"2024-02-09T17:31:09";"https://data.toulouse-metropole.fr/explore/dataset/criteres-travaux/";"0.44";0;0;0;"{'2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0, '2025-12': 0, '2026-01': 0}";2;0;"{'2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0, '2025-12': 0, '2026-01': 0}";1999;615
"65c1a1d642263cfcdd22e391";"Conditions de circulation hivernales - copie";"conditions-de-circulation-hivernales-copie";"";"https://www.data.gouv.fr/datasets/conditions-de-circulation-hivernales-copie";"Rennes Métropole en accès libre";"580735be88ee3814295ff490";"";"";"Retrouvez ici les données des routes du département incluses dans le plan ""viabilité hivernale"". 
0 ——► Pas de patrouille : Condition de conduite : normale sous réserve. Pas de problème météorologique signalé sur cette partie du réseau départemental prioritaire. En l’absence de patrouille de surveillance, restez prudents.  
1 ——► Condition de conduite normale : pas de difficulté hivernale. Restez prudents.  
2 ——► Conduite délicate : soyez vigilants, réduisez votre vitesse. Perte d’adhérence possible localement.  
3 ——► Conduite difficile : équipements hivernaux nécessaires. Sinon, différez votre déplacement.  
4 ——► Conduite impossible : ne prenez pas la route.
Ces données sont indicatives. Aucune responsabilité ne pourra être recherchée auprès du Département ou Rennes Métropole pour toute conséquence provenant d'une indication erronée ou d'une avarie informatique.
Pour connaître l’état du réseau routier national traité par l’Etat : [DIR Ouest](http://carto.diro.fr/cigt/evenements.html)
Lorsque l'hiver est là, les départements ont pour mission d'intervenir au plus vite sur les routes et d'informer en temps réel les usagers des conditions de circulation (bonne, mauvaise, impossible, etc) On appelle cela la ""viabilité hivernale"". Les informations sont transmises en temps réel par des patrouilleurs. En Ille-et-Vilaine, Rennes Métropole ayant désormais la compétence Voirie, ce sont des agents de la métropole qui patrouillent sur les principaux axes concernés sur notre territoire.
Ces données sont donc une fusion des données remontés par les patrouilleurs de Département 35 et par ceux de Rennes Métropole
Le plan ""viabilité hivernal"" est activé du 16 novembre au 8 mars.
Vous pouvez consulter la carte sur le site de la métropole[ en cliquant ici](https://metropole.rennes.fr/neige-et-verglas-ce-quil-faut-savoir)";"";"";"License Not Specified";"";"";"";"";False;"2024-06-24T02:00:53";"2024-06-24T02:00:53";"infrastructure-routiere,mobilite-transport,reseau-routier,viabilite-hivernale,voirie";"2024-07-02T03:02:35.319000";4;4;"zip,json,csv";"DCAT";"data.rennesmetropole.fr";"2024-06-24T02:00:53";"2024-06-24T02:00:53";"https://data.rennesmetropole.fr/explore/dataset/conditions-de-circulation-hivernales-copie/";"0.44";0;0;0;0;0;0;0;895;289
"65c17c07f74377c2e475f77e";"Equipements par sous thème";"equipements-par-sous-theme-2";"";"https://www.data.gouv.fr/datasets/equipements-par-sous-theme-2";"Ville d'Argenteuil";"5fa50f45bd278f782c7d3e31";"";"";"Localisation des tous les types d'équipements publics sur la commune d'Argenteuil.
Données mises à jour de manière permanentes en concertation avec les directions de la collectivité.
Données basé sur le modele nomenclature 
https://docs.google.com/spreadsheets/d/157WPWMUDC6w58Aep1dgWzzunKEjzSd-QmyuEHa8RFqc/edit#gid=24858607";"";"";"License Not Specified";"";"";"";"";False;"2023-09-27T00:00:00";"2025-12-08T00:00:00";"argenteuil,batiment,equipement-public,geospatial,plan,ville";"2025-12-14T00:07:12.254000";3;3;"web page,arcgis geoservices rest api";"DCAT";"argenteuil-geo-open-data-ca-ab.hub.arcgis.com";"";"2025-12-08T00:00:00";"https://argenteuil-geo-open-data-ca-ab.hub.arcgis.com/maps/CA-AB::equipements-par-sous-thème";"0.33";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";1159;323
